round,priority_family,source_type,source_id,candidate_status_round17,candidate_text,exactness_level,exactness_gate_status,structure_gate_status,local_dedup_gate_status,generator_route_gate_status,split_leakage_gate_status,training_allowed_round18,why_blocked,chebi_round18_cache_summary,raw_file
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:17261,generic_rule_template_context,an aryl sulfate + H2O = a phenol + sulfate + H(+),generic_reaction_template,fail_for_positive_label,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,"Generic participants such as 'an alcohol' or 'a glucuronoside' are rule context, not a specific positive pair.",39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\arylsulfatase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:17369,approved_exact_or_specific_reaction_lead,glycyrrhizin + H2O = 2-(beta-D-glucuronosyl)-D-glucuronate + glycyrrhetinate,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\beta_glucuronidase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:28130,approved_exact_or_specific_reaction_lead,baicalin + H2O = baicalein + D-glucuronate + H(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\beta_glucuronidase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:17633,generic_rule_template_context,a beta-D-glucuronoside + H2O = D-glucuronate + an alcohol,generic_reaction_template,fail_for_positive_label,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,"Generic participants such as 'an alcohol' or 'a glucuronoside' are rule context, not a specific positive pair.",39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\beta_glucuronidase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:15073,approved_exact_or_specific_reaction_lead,"3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine + H2O = N(2),6-disulfo-D-glucosamine + D-glucuronate",database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\beta_glucuronidase.json
18,tma_choline_carnitine_metabolism,Rhea,RHEA:55368,approved_exact_or_specific_reaction_lead,(R)-carnitine + NADPH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NADP(+) + H2O,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\carnitine_trimethylamine.json
18,tma_choline_carnitine_metabolism,Rhea,RHEA:55396,approved_exact_or_specific_reaction_lead,(R)-carnitine + NADH + O2 + H(+) = (3R)-3-hydroxy-4-oxobutanoate + trimethylamine + NAD(+) + H2O,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\carnitine_trimethylamine.json
18,tma_choline_carnitine_metabolism,Rhea,RHEA:35095,approved_exact_or_specific_reaction_lead,choline = trimethylamine + acetaldehyde,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\choline_trimethylamine_lyase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:34179,approved_exact_or_specific_reaction_lead,mycophenolic acid O-acyl-beta-D-glucuronide + H2O = mycophenolate + D-glucuronate + H(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:28130,approved_exact_or_specific_reaction_lead,baicalin + H2O = baicalein + D-glucuronate + H(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:17369,approved_exact_or_specific_reaction_lead,glycyrrhizin + H2O = 2-(beta-D-glucuronosyl)-D-glucuronate + glycyrrhetinate,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:28314,approved_exact_or_specific_reaction_lead,baicalein + UDP-alpha-D-glucuronate = baicalin + UDP,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
18,glucuronide_sulfate_deconjugation,Rhea,RHEA:20005,generic_rule_template_context,an alpha-D-glucuronoside + H2O = D-glucuronate + an alcohol,generic_reaction_template,fail_for_positive_label,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,"Generic participants such as 'an alcohol' or 'a glucuronoside' are rule context, not a specific positive pair.",39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:20133,approved_exact_or_specific_reaction_lead,3-(indol-3-yl)lactate + NAD(+) = indole-3-pyruvate + NADH + H(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\indolelactate_dehydrogenase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:26434,approved_exact_or_specific_reaction_lead,indole + L-serine = L-tryptophan + H2O,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:19553,approved_exact_or_specific_reaction_lead,L-tryptophan + H2O = indole + pyruvate + NH4(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:30339,approved_exact_or_specific_reaction_lead,L-tryptophan + H(+) = tryptamine + CO2,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:27586,approved_exact_or_specific_reaction_lead,L-tryptophan + pyruvate = indole-3-pyruvate + L-alanine,database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:10532,approved_exact_or_specific_reaction_lead,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = D-glyceraldehyde 3-phosphate + L-tryptophan + H2O",database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,tryptophan_indole_metabolism,Rhea,RHEA:73763,approved_exact_or_specific_reaction_lead,L-tryptophan + L-alanine + 2 ATP = cyclo(L-tryptophyl-L-alanyl) + 2 ADP + 2 phosphate + 2 H(+),database_equation_present,partial_pass,round18_chebi_cache_available_partial,not_started,not_started,not_started,False,Rhea gives an approved balanced equation; still needs participant structure mapping and local de-dup.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
18,glucuronide_sulfate_deconjugation,PubMed,PMID:36829817,literature_lead_for_manual_exact_pair_review,Potential Role of Quercetin Glycosides as Anti-Atherosclerotic Food-Derived Factors for Human Health.,paper_search_lead,needs_manual_extraction,not_applicable_until_exact_pair_extracted,not_started,not_started,not_started,False,Search hit needs manual reaction extraction before it can become a candidate label.,39/46 cached ChEBI records have structures; failed/missing records must be rechecked.,data\curation\ncbi_round17_raw\gut_microbiota_beta_glucuronidase_polyphenol_glucuronide_deconjugation_esearch.json
